,Type,Title,Location,Bedrooms,Bathrooms,Space,Price
5279,Duplex,"DP15%, own a lodge + installments over 7 years","Wadi Jebal, Soma Bay, Safaga, Hurghada, Red Sea",3 bedrooms,3 bathrooms,188 sqm,"1,400,000 EGP"
5280,Hotel Apartment,The lowest Hotel Apartment at The Address Beach,"Marassi, Sidi Abdel Rahman, North Coast",1 bedroom,1 bathroom,97 sqm,"7,500,000 EGP"
5281,Apartment,Six west – Sodic west- Beverly Hills - sodic,"Sodic West, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",2 bedrooms,3 bathrooms,158 sqm,"4,600,000 EGP"
5282,Apartment,Superior Ground Floor For Sale in Almaza Bay.....,"Almaza Bay, Qesm Marsa Matrouh, North Coast",3 bedrooms,2 bathrooms,130 sqm,"6,300,000 EGP"
5283,Apartment,From Owner Apartment Ready To Move In Address East,"The Address East, 90 Street, The 5th Settlement, New Cairo City, Cairo",3 bedrooms,2 bathrooms,122 sqm,"1,900,000 EGP"
5284,Villa,Own ville with 15% d.p fully finished with ACs,"Fifth Square, North Investors Area, New Cairo City, Cairo",5 bedrooms,4 bathrooms,233 sqm,"1,410,000 EGP"
5285,Apartment,"Apartment 180 m, main facade, first floor","Bait Alwatan, The 5th Settlement, New Cairo City, Cairo",3 bedrooms,3 bathrooms,180 sqm,"1,395,000 EGP"
5286,Twin House,Modern and luxurious Twinhouse in Almaza Bay for,"Almaza Bay, Qesm Marsa Matrouh, North Coast",5 bedrooms,5 bathrooms,233 sqm,"14,000,000 EGP"
5287,Chalet,For Sale Chalet Sea View in Amwaj North Coast,"Amwaj, Al Alamein, North Coast",2 bedrooms,2 bathrooms,135 sqm,"3,279,000 EGP"
5288,Chalet,chalet for sale in Mountain view el sahel bahry,"Mountain View, Ras Al Hekma, North Coast",3 bedrooms,2 bathrooms,125 sqm,"2,600,000 EGP"
5289,Chalet,1 Bedroom Chalet in Marassi Greek .,"Marassi, Sidi Abdel Rahman, North Coast",1 bedroom,1 bathroom,72 sqm,"2,100,000 EGP"
5290,Land,"In the second district, land for sale ,area 737 m.","Bait Alwatan, The 5th Settlement, New Cairo City, Cairo",NaN,NaN,737 sqm,"2,350,000 EGP"
5291,Chalet,"Ground 3BDS Chalet phase1, Direct Crystal Lagoon","Bo Islands, Sidi Abdel Rahman, North Coast",3 bedrooms,3 bathrooms,135 sqm,"3,300,000 EGP"
5292,Duplex,Duplex roof corner | over clubhouse Eastown Sodic,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4 bedrooms,4 bathrooms,317 sqm,"6,200,000 EGP"
5293,Apartment,Apartment for Sale 216 m Moustafa Kamel,"Mostafa Kamel Tunnel, Mustafa Kamel, Hay Sharq, Alexandria",3 bedrooms,3 bathrooms,216 sqm,"3,700,000 EGP"
5294,Villa,Crystal Edition | Garden villa | prime location,"katameya coast, Qesm Ad Dabaah, North Coast",4 bedrooms,4 bathrooms,215 sqm,"12,000,000 EGP"
5295,Apartment,studio for sale in sahl hasheesh on 6 years,"Bay View, Sahl Hasheesh, Hurghada, Red Sea",NaN,1 bathroom,50 sqm,"834,900 EGP"
5296,Apartment,Alborouj ready to move Superlux 2 bedroom Apart .,"Al Burouj Compound, El Shorouk Compounds, Shorouk City, Cairo",2 bedrooms,2 bathrooms,135 sqm,"1,900,000 EGP"
5297,Apartment,For sale chalet 88m on the pool in Marina,"Golf Porto Marina, Al Alamein, North Coast",3 bedrooms,1 bathroom,53 sqm,"833,000 EGP"
5298,Twin House,For sale 2 twin house 475m next to some in Karma4,"Al Karma 4, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",3 bedrooms,3 bathrooms,475 sqm,"6,500,000 EGP"
5299,Chalet,Chalet sea view in La Vista Ras ElHekma,"La vista Ras El Hikma, Ras Al Hekma, North Coast",3 bedrooms,2 bathrooms,150 sqm,"5,250,000 EGP"
5300,Apartment,210 m ready to move view pool installments 9 years,"Isola, Hadayek October, 6 October City, Giza",3 bedrooms,3 bathrooms,210 sqm,"2,588,000 EGP"
5301,Apartment,Apartment For sale Mivida boulevard central park,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3 bedrooms,3 bathrooms,217 sqm,"4,800,000 EGP"
5302,Twin House,Twin house for sale in Layan Residence new cairo,"Layan Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4 bedrooms,5 bathrooms,326 sqm,"7,300,000 EGP"
5303,Apartment,Own your unit with installments over 9 years,"Zed East, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",1 bedroom,1 bathroom,85 sqm,"3,000,000 EGP"
5304,Chalet,FinishedChalet in Gaia Al Sahel installments8years,"Gaia, Ras Al Hekma, North Coast",3 bedrooms,2 bathrooms,122 sqm,"3,074,000 EGP"
5305,Penthouse,penthouse for sale fifth square with instullment,"Fifth Square, North Investors Area, New Cairo City, Cairo",3 bedrooms,4 bathrooms,179 sqm,"3,300,000 EGP"
5306,Apartment,Apartment for sale in Azad compound - New Cairo,"Azad, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3 bedrooms,3 bathrooms,179 sqm,"3,850,000 EGP"
5307,Duplex,Finished duplex+ AC/S and kitchen ONLY 250.000 D.P,"Monte Napoleone, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",2 bedrooms,2 bathrooms,161 sqm,"250,000 EGP"
5308,Villa,New Launch|Villa with private beach5%DP|BEST OFFER,"Mazarine, New Alamein City, North Coast",4 bedrooms,4 bathrooms,368 sqm,"900,000 EGP"
5309,Apartment,Apartment for sale at hyde park new cairo 145 m,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2 bedrooms,2 bathrooms,145 sqm,"2,500,000 EGP"
5310,Apartment,Live and invest in the new city of Alamein,"Latin District, New Alamein City, North Coast",2 bedrooms,2 bathrooms,120 sqm,"2,500,000 EGP"
5311,Duplex,Duplex + Garden Super lux Beverly Hills sale,"Beverly Hills, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",3 bedrooms,3 bathrooms,200 sqm,"4,600,000 EGP"
5312,Villa,Separate villa resale High Fully Finished,"Palm Hills Golf Extension, Al Wahat Road, 6 October City, Giza",4 bedrooms,4 bathrooms,390 sqm,"11,500,000 EGP"
5313,Townhouse,RESALE townhouse 237m N AZZAR1 WZ a very good deal,"Azzar, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3 bedrooms,3 bathrooms,237 sqm,"3,790,000 EGP"
5314,Twin House,mivida twin house ultra modern with ACs kitchen,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4 bedrooms,5 bathrooms,320 sqm,"12,800,000 EGP"
5315,Villa,Villa 1200m + Installments at Palm Hills Katameya,"Palm Hills Kattameya, El Katameya Compounds, El Katameya, New Cairo City, Cairo",8 bedrooms,8 bathrooms,"1,200 sqm","13,000,000 EGP"
5316,Townhouse,pay 0% over 8 years and own your villa in azzar,"Azzar 2, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3 bedrooms,4 bathrooms,205 sqm,"8,550,000 EGP"
5317,Villa,Little Venice - Al Sokhna | Villa For Sale,"Jaz Little Venice Golf, Al Ain Al Sokhna, Suez",3 bedrooms,3 bathrooms,170 sqm,"9,225,000 EGP"
5318,Apartment,Apartment with garden Eastown parks - New Cairo,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3 bedrooms,4 bathrooms,188 sqm,"4,725,000 EGP"
